N,defector_ratio,seed,R_mean_run,Sbar_mean_run
10,0.35,42,0.06198057896317063,0.9387991729057927
10,0.35,43,0.07796592173535583,0.948038506193285
10,0.35,44,0.07438263941915252,0.9322595603495859
10,0.35,45,0.04957635463808767,0.940419061331949
10,0.35,46,0.07239909629301854,0.943229970915596
10,0.35,47,0.06584019961318897,0.9265104487392187
10,0.35,48,0.05627175141560831,0.9279389256679522
10,0.35,49,0.07726153005002921,0.925687041513643
10,0.35,50,0.10093397184297105,0.9270246209363009
10,0.35,51,0.060501812050658035,0.9424638867791508
10,0.37,42,0.06345182427772676,0.9337530881536578
10,0.37,43,0.07935003527850429,0.9465640236501076
10,0.37,44,0.07690798253887815,0.9276791866978064
10,0.37,45,0.052813097945361834,0.9348042388977318
10,0.37,46,0.07405555954006283,0.939922112834271
10,0.37,47,0.06824895408696265,0.9192806811765359
10,0.37,48,0.058994038545605254,0.9221917007475433
10,0.37,49,0.08184129308733436,0.9197953160247647
10,0.37,50,0.10538896038776233,0.9201983619078807
10,0.37,51,0.06280902047811006,0.9386745518261599
10,0.39,42,0.06671293816745709,0.9291958734416856
10,0.39,43,0.08199120089584651,0.9440247348422843
10,0.39,44,0.07950009562324643,0.9227917973267012
10,0.39,45,0.05517237127273249,0.9296539397212297
10,0.39,46,0.07678957945717088,0.9366324583277873
10,0.39,47,0.07058269183002032,0.9125108816415431
10,0.39,48,0.06128313328540195,0.9155168968023354
10,0.39,49,0.08487016538487374,0.9130572343246449
10,0.39,50,0.10704951826739216,0.9147017441123261
10,0.39,51,0.06735906315227572,0.9354421589431507
10,0.41000000000000003,42,0.07093809583570236,0.9243160655832917
10,0.41000000000000003,43,0.08438135368539355,0.9405520697356426
10,0.41000000000000003,44,0.08193389923947132,0.917524729804921
10,0.41000000000000003,45,0.05783803931015982,0.9238395678997765
10,0.41000000000000003,46,0.07826925882614615,0.9335538950599346
10,0.41000000000000003,47,0.07347028042364387,0.9063227041188976
10,0.41000000000000003,48,0.06410730437804903,0.9093284501383906
10,0.41000000000000003,49,0.08707498066470777,0.9062868984566297
10,0.41000000000000003,50,0.10729901895934493,0.9072594304377132
10,0.41000000000000003,51,0.06981741739536323,0.931405701321649
10,0.43000000000000005,42,0.0730241773612001,0.919198497786816
10,0.43000000000000005,43,0.08735107209070068,0.9351260324555958
10,0.43000000000000005,44,0.0842170751640364,0.909431958436392
10,0.43000000000000005,45,0.06012995311754747,0.918011314972815
10,0.43000000000000005,46,0.0806005691333113,0.9270360053878133
10,0.43000000000000005,47,0.07525241303686553,0.8993257863226117
10,0.43000000000000005,48,0.06582202298657122,0.9014853406570243
10,0.43000000000000005,49,0.0897292159053119,0.9015387102250025
10,0.43000000000000005,50,0.11101495167100757,0.8996832328806807
10,0.43000000000000005,51,0.07172740590722722,0.9274229377507041
10,0.45000000000000007,42,0.07474020861673389,0.9129006774165618
10,0.45000000000000007,43,0.08850189063288487,0.9309904192820438
10,0.45000000000000007,44,0.08671353705976766,0.9036235298947697
10,0.45000000000000007,45,0.06179015974338654,0.9119562254592064
10,0.45000000000000007,46,0.08328420012970092,0.9210334337163085
10,0.45000000000000007,47,0.07978867447456844,0.8903098280084532
10,0.45000000000000007,48,0.06844662745339633,0.8927214788241037
10,0.45000000000000007,49,0.09307484756717915,0.8947978801999258
10,0.45000000000000007,50,0.1145375876451807,0.891172493954268
10,0.45000000000000007,51,0.07435478128020083,0.922428553519999
10,0.4700000000000001,42,0.07750999411685176,0.9058353147380408
10,0.4700000000000001,43,0.09084003186701084,0.9264109074932958
10,0.4700000000000001,44,0.0900910483858061,0.8964560178611095
10,0.4700000000000001,45,0.06431654163003135,0.9055550264324147
10,0.4700000000000001,46,0.08747668104493292,0.9149582098166038
10,0.4700000000000001,47,0.08105943799250934,0.8841873655610374
10,0.4700000000000001,48,0.07278967401294197,0.8823481468426332
10,0.4700000000000001,49,0.0968174795464822,0.8846401013768805
10,0.4700000000000001,50,0.11953127813165947,0.883632358997642
10,0.4700000000000001,51,0.07656667736738251,0.9154474325695999
10,0.4900000000000001,42,0.08057788522329881,0.8978644306937366
10,0.4900000000000001,43,0.09432362957875995,0.9209883825952864
10,0.4900000000000001,44,0.09221776453533123,0.8881746161114509
10,0.4900000000000001,45,0.06640682182814302,0.8987239283687223
10,0.4900000000000001,46,0.09068336048707928,0.9069720855197232
10,0.4900000000000001,47,0.08236314655767213,0.8765702111250112
10,0.4900000000000001,48,0.07520645152833542,0.8720294493807091
10,0.4900000000000001,49,0.10107069316584197,0.8767977475392195
10,0.4900000000000001,50,0.12163319256260717,0.8772317043132382
10,0.4900000000000001,51,0.07890224668068145,0.9084260379906197
10,0.5100000000000001,42,0.08324629608833013,0.8895374707445576
10,0.5100000000000001,43,0.09607378893222912,0.9150303563028593
10,0.5100000000000001,44,0.09513039883696267,0.878757826714877
10,0.5100000000000001,45,0.06904642014659311,0.8910679377543038
10,0.5100000000000001,46,0.09349033141756155,0.8983816433926564
10,0.5100000000000001,47,0.08736634274246544,0.8671502379641421
10,0.5100000000000001,48,0.07813779945622358,0.8619429059728592
10,0.5100000000000001,49,0.10358728525827798,0.8681675465347916
10,0.5100000000000001,50,0.1262943060716929,0.8682575148704987
10,0.5100000000000001,51,0.08025778373240151,0.9031674427005919
10,0.5300000000000001,42,0.0873460442659076,0.8806257714510721
10,0.5300000000000001,43,0.0991612085966722,0.907970209245781
10,0.5300000000000001,44,0.09720732115390569,0.868533472428043
10,0.5300000000000001,45,0.07420947247563378,0.8798579197030991
10,0.5300000000000001,46,0.0963212245271446,0.8892483133860369
10,0.5300000000000001,47,0.08884085647796283,0.8566420554585477
10,0.5300000000000001,48,0.08022114157032681,0.8502803244463879
10,0.5300000000000001,49,0.10703055388928877,0.8590493114781734
10,0.5300000000000001,50,0.12942041736742854,0.8587624635127116
10,0.5300000000000001,51,0.08480272319187429,0.8962288723387266
10,0.5500000000000002,42,0.09006520593015895,0.872531889505567
10,0.5500000000000002,43,0.10353182615478576,0.9003643601651165
10,0.5500000000000002,44,0.10171367387083023,0.8592044424599979
10,0.5500000000000002,45,0.07696522227889127,0.8693963844388698
10,0.5500000000000002,46,0.10117454683381147,0.8794981921302438
10,0.5500000000000002,47,0.0918636006490696,0.8470040721233013
10,0.5500000000000002,48,0.0846439678699071,0.8397394229850096
10,0.5500000000000002,49,0.11025606407802499,0.8477971854125083
10,0.5500000000000002,50,0.13192843259751397,0.8494745738276914
10,0.5500000000000002,51,0.08730341736015754,0.8884384760886987
20,0.35,42,0.04280353461881878,0.9319216639502839
20,0.35,43,0.046589606765403066,0.9355182077316926
20,0.35,44,0.04547533809267818,0.931239922278855
20,0.35,45,0.03638550953870521,0.9393439071999292
20,0.35,46,0.04207668844513876,0.9294012858889139
20,0.35,47,0.0408437446233186,0.9373610368318881
20,0.35,48,0.04149021260057002,0.9344191515947393
20,0.35,49,0.04427595220372017,0.9346499934100857
20,0.35,50,0.047390826387127216,0.9337161315399717
20,0.35,51,0.0488181066409532,0.9375658347340973
20,0.37,42,0.04443101516833828,0.9256801760010542
20,0.37,43,0.04831896911885879,0.9308773694205851
20,0.37,44,0.047926682210955994,0.9259632243705446
20,0.37,45,0.039128477585806384,0.9343169924421559
20,0.37,46,0.04428638147936384,0.9244306616293468
20,0.37,47,0.04275369698419611,0.9327354365381934
20,0.37,48,0.04305729205714495,0.9296503763909649
20,0.37,49,0.04624487219207339,0.9306269388409483
20,0.37,50,0.04958690146866364,0.9282563705420247
20,0.37,51,0.050282485546315536,0.9327826848718618
20,0.39,42,0.046065824973019136,0.9203015787607655
20,0.39,43,0.049489780312997486,0.9251056773782992
20,0.39,44,0.0502629802297814,0.9202817154971221
20,0.39,45,0.040952197151992685,0.9292305446569983
20,0.39,46,0.046717296581834794,0.9186412662974538
20,0.39,47,0.0450205000544913,0.9272201535888489
20,0.39,48,0.0456105398141111,0.9248168348928163
20,0.39,49,0.04814188091602252,0.9259827304069965
20,0.39,50,0.051615495675652004,0.9230215896026395
20,0.39,51,0.05244897153683962,0.9279280488134949
20,0.41000000000000003,42,0.04837965851891355,0.913630221118891
20,0.41000000000000003,43,0.05098997824300577,0.9195400983883641
20,0.41000000000000003,44,0.053023994455126525,0.9136960197819952
20,0.41000000000000003,45,0.04317360582206826,0.9236498839390451
20,0.41000000000000003,46,0.04895870128438562,0.9129177309505981
20,0.41000000000000003,47,0.04681313799755542,0.9211425445151048
20,0.41000000000000003,48,0.04789834990087416,0.9190042828374809
20,0.41000000000000003,49,0.04980733674105179,0.9208867681176439
20,0.41000000000000003,50,0.05322272648800747,0.9163296016672947
20,0.41000000000000003,51,0.0547534795236151,0.9220706299061734
20,0.43000000000000005,42,0.050776832155633875,0.9064784876474571
20,0.43000000000000005,43,0.05312896037100507,0.9126863144942111
20,0.43000000000000005,44,0.05530485611058831,0.906657007435141
20,0.43000000000000005,45,0.04525975119140727,0.9178438196916917
20,0.43000000000000005,46,0.051384485884049674,0.9062818875602215
20,0.43000000000000005,47,0.04929215637219664,0.9146158979961752
20,0.43000000000000005,48,0.0507186338740925,0.9115512399604296
20,0.43000000000000005,49,0.05226829996017928,0.9158174178863762
20,0.43000000000000005,50,0.05541947036294535,0.9099334131981479
20,0.43000000000000005,51,0.05735633213195871,0.9165999242446039
20,0.45000000000000007,42,0.052589485641076315,0.8998675709002114
20,0.45000000000000007,43,0.05543632909796292,0.9045039979801572
20,0.45000000000000007,44,0.0573002997180678,0.8991030289530537
20,0.45000000000000007,45,0.04765115727752454,0.91200768768762
20,0.45000000000000007,46,0.054270668063032275,0.8990969864484882
20,0.45000000000000007,47,0.051131037039248636,0.9075553916277445
20,0.45000000000000007,48,0.05250424498049489,0.9054338100025554
20,0.45000000000000007,49,0.05415844040724708,0.9084660039532071
20,0.45000000000000007,50,0.057215826698408606,0.902416907594047
20,0.45000000000000007,51,0.05965034231791118,0.9095939430238023
20,0.4700000000000001,42,0.05549014381638461,0.8918617888788318
20,0.4700000000000001,43,0.0580500419912091,0.8974986823931125
20,0.4700000000000001,44,0.05965349910156428,0.8913648216354952
20,0.4700000000000001,45,0.050172880824589074,0.9054110289342963
20,0.4700000000000001,46,0.05672178941162284,0.891586421558996
20,0.4700000000000001,47,0.05352001258194255,0.8993564461685681
20,0.4700000000000001,48,0.0557004234139222,0.8984005005258983
20,0.4700000000000001,49,0.05593059223303282,0.9007996694668559
20,0.4700000000000001,50,0.05947194263317539,0.8939529877812231
20,0.4700000000000001,51,0.06172348990500938,0.9018376049437475
20,0.4900000000000001,42,0.058891636662297006,0.883659500848641
20,0.4900000000000001,43,0.06054422742296268,0.889313332225988
20,0.4900000000000001,44,0.06229671872083535,0.8827731382823781
20,0.4900000000000001,45,0.053370357245785684,0.8976551891957913
20,0.4900000000000001,46,0.059281531266845766,0.8834344512709185
20,0.4900000000000001,47,0.05612714005658048,0.8904701713028677
20,0.4900000000000001,48,0.058871810220026806,0.8896891853613776
20,0.4900000000000001,49,0.05863994458685896,0.8930118875037049
20,0.4900000000000001,50,0.06283700726283153,0.8856769054970166
20,0.4900000000000001,51,0.06438654368208302,0.893942061002785
20,0.5100000000000001,42,0.061720906087217704,0.8733019149506828
20,0.5100000000000001,43,0.06317917055755597,0.880328248456475
20,0.5100000000000001,44,0.0652669159319457,0.8731798434542125
20,0.5100000000000001,45,0.05619795184479244,0.88953069194474
20,0.5100000000000001,46,0.06304714520239053,0.8740220328847992
20,0.5100000000000001,47,0.059660622323733196,0.880911336404176
20,0.5100000000000001,48,0.061900303802595064,0.8798051139599257
20,0.5100000000000001,49,0.06077645063735826,0.8857601459506174
20,0.5100000000000001,50,0.06551155079346238,0.8766163416567488
20,0.5100000000000001,51,0.06650545045053428,0.8857284057532996
20,0.5300000000000001,42,0.0644046707619246,0.8631181979596313
20,0.5300000000000001,43,0.0657972701349981,0.8706431295621871
20,0.5300000000000001,44,0.06784324301386707,0.8636442983975697
20,0.5300000000000001,45,0.05766506879879655,0.8806306308051537
20,0.5300000000000001,46,0.06581535921595086,0.8636990737872046
20,0.5300000000000001,47,0.06259884423192691,0.8714873906377665
20,0.5300000000000001,48,0.06481208646566948,0.8705190253424608
20,0.5300000000000001,49,0.06333252295563063,0.8767654409078605
20,0.5300000000000001,50,0.0682043649386054,0.8671260483566415
20,0.5300000000000001,51,0.06984432356119055,0.8764952359756424
20,0.5500000000000002,42,0.06676065882262021,0.8525250649371209
20,0.5500000000000002,43,0.06858943348846755,0.8600199153322353
20,0.5500000000000002,44,0.06991420864081262,0.8537168536764383
20,0.5500000000000002,45,0.06092106335611569,0.8708420972715473
20,0.5500000000000002,46,0.06948701043036405,0.8543470284272494
20,0.5500000000000002,47,0.06499476367974438,0.8615914730217358
20,0.5500000000000002,48,0.06689861032247678,0.8600778826880675
20,0.5500000000000002,49,0.06617929824834427,0.8661403502574223
20,0.5500000000000002,50,0.07137678635913988,0.85591747836328
20,0.5500000000000002,51,0.07274821499065894,0.8666682392109468
40,0.35,42,0.03679758604065993,0.9370033656983782
40,0.35,43,0.037250796601288036,0.9317397951825961
40,0.35,44,0.03469857322491632,0.9367968190998509
40,0.35,45,0.03479355313870925,0.9330221189538227
40,0.35,46,0.03597900810817699,0.9310419096626494
40,0.35,47,0.035444220177520976,0.935531590894467
40,0.35,48,0.03831401183076476,0.9300782958977526
40,0.35,49,0.03419729626429282,0.9363551088411445
40,0.35,50,0.0359847694274885,0.9328082414464555
40,0.35,51,0.03727868172178847,0.9323465748415195
40,0.37,42,0.03848243661338859,0.9325043327191563
40,0.37,43,0.038987101838793295,0.9263737934230477
40,0.37,44,0.03653526018838603,0.9321947399568951
40,0.37,45,0.036613368530891546,0.9281077263214391
40,0.37,46,0.03820737464647026,0.92587595463012
40,0.37,47,0.03730349175069095,0.9310695511774457
40,0.37,48,0.040355088336862514,0.9246858494939623
40,0.37,49,0.0363820134080783,0.9319270592103445
40,0.37,50,0.037701421214239604,0.9276029478073543
40,0.37,51,0.039408826135113775,0.9271259901333605
40,0.39,42,0.04029717237741658,0.927229216974754
40,0.39,43,0.0409161826258976,0.9208537328820967
40,0.39,44,0.038453341469092336,0.9273150311627193
40,0.39,45,0.03873028536251531,0.9226742963318216
40,0.39,46,0.04047683293384125,0.9198406832931117
40,0.39,47,0.039195136733982276,0.9254196190655073
40,0.39,48,0.042782085906961975,0.919059910096694
40,0.39,49,0.03833077667375527,0.9267114984989756
40,0.39,50,0.03977354092112783,0.9219847434465204
40,0.39,51,0.04103768572818929,0.9212886863167246
40,0.41000000000000003,42,0.04216217528038795,0.9213325418584015
40,0.41000000000000003,43,0.04317719045010097,0.9148880344813243
40,0.41000000000000003,44,0.04049352779977433,0.9217100725049684
40,0.41000000000000003,45,0.04088488971851232,0.9168149970436744
40,0.41000000000000003,46,0.0429490736377588,0.9135691385006411
40,0.41000000000000003,47,0.04130971893417398,0.9193730364749556
40,0.41000000000000003,48,0.04497077900758211,0.9126128613602286
40,0.41000000000000003,49,0.04048545173800795,0.9213298773732922
40,0.41000000000000003,50,0.0418194341160919,0.9159678090490174
40,0.41000000000000003,51,0.042897057806689176,0.9149184700057221
40,0.43000000000000005,42,0.04419008964980458,0.9153433250263484
40,0.43000000000000005,43,0.04531284951017131,0.9083066465140538
40,0.43000000000000005,44,0.04262092076921227,0.9154885573842507
40,0.43000000000000005,45,0.04326554523308901,0.9100814451458942
40,0.43000000000000005,46,0.045051939667642905,0.9065503321468521
40,0.43000000000000005,47,0.043299625922627705,0.9131856561751962
40,0.43000000000000005,48,0.046985614155820504,0.9053291064502813
40,0.43000000000000005,49,0.04235563339658429,0.915413932237805
40,0.43000000000000005,50,0.04416940419987478,0.9092518128746736
40,0.43000000000000005,51,0.044924904105705245,0.9081608825558225
40,0.45000000000000007,42,0.046381245369043235,0.9087218674836298
40,0.45000000000000007,43,0.047957055059727444,0.9008000727945211
40,0.45000000000000007,44,0.0447281588349551,0.9084972342380991
40,0.45000000000000007,45,0.045691517230329305,0.903020087174126
40,0.45000000000000007,46,0.04735426303328887,0.899295011210571
40,0.45000000000000007,47,0.04531491815875355,0.9061635897772822
40,0.45000000000000007,48,0.04959590869397957,0.8981277468111867
40,0.45000000000000007,49,0.04487981704981834,0.9087073690884362
40,0.45000000000000007,50,0.04646208311761627,0.9019914310675271
40,0.45000000000000007,51,0.04703103075087878,0.9003911749603167
40,0.4700000000000001,42,0.04874196053043264,0.9012238969345432
40,0.4700000000000001,43,0.05058657332740634,0.8926630746965291
40,0.4700000000000001,44,0.04696038451343455,0.9013436342956841
40,0.4700000000000001,45,0.04790460993848867,0.8955224645893496
40,0.4700000000000001,46,0.04957958925606457,0.8912974550159672
40,0.4700000000000001,47,0.047469929834851585,0.8986471627413891
40,0.4700000000000001,48,0.05182506451348579,0.8894946090752087
40,0.4700000000000001,49,0.047518397861854994,0.9015419041525339
40,0.4700000000000001,50,0.049013676092526194,0.8941621930422222
40,0.4700000000000001,51,0.04924803099764455,0.8918748590604918
40,0.4900000000000001,42,0.05087890313893604,0.8931031495264921
40,0.4900000000000001,43,0.05318435100432919,0.8839066652211897
40,0.4900000000000001,44,0.04907728805276615,0.89352785687152
40,0.4900000000000001,45,0.05029968379479911,0.8874464062363411
40,0.4900000000000001,46,0.052218698918167925,0.8826003286175736
40,0.4900000000000001,47,0.04984418755311314,0.8907176949131482
40,0.4900000000000001,48,0.05427373414290299,0.8809077233505213
40,0.4900000000000001,49,0.049892533528413656,0.8937966129956124
40,0.4900000000000001,50,0.05150268253589981,0.8862390134651629
40,0.4900000000000001,51,0.051751112126428245,0.883721510954297
40,0.5100000000000001,42,0.05350996426051015,0.8844166214716476
40,0.5100000000000001,43,0.0555405375585681,0.8742932490053915
40,0.5100000000000001,44,0.05183105492393299,0.8850611062434558
40,0.5100000000000001,45,0.05279845961793253,0.8784290729785196
40,0.5100000000000001,46,0.054698286971148855,0.8727898261979583
40,0.5100000000000001,47,0.05234244452825744,0.8821026527481026
40,0.5100000000000001,48,0.05697896866962225,0.8715069056316798
40,0.5100000000000001,49,0.05241979092206692,0.8854870131208931
40,0.5100000000000001,50,0.05394635241385301,0.877078299083324
40,0.5100000000000001,51,0.05381869504880931,0.874477368005214
40,0.5300000000000001,42,0.056184923782278205,0.8745128887408458
40,0.5300000000000001,43,0.05806650356965245,0.8646245267850643
40,0.5300000000000001,44,0.05416044219141061,0.8759402097820236
40,0.5300000000000001,45,0.05521714427755954,0.8692049273867698
40,0.5300000000000001,46,0.05693069662962288,0.8630514999195492
40,0.5300000000000001,47,0.05436480609470927,0.8723371164672901
40,0.5300000000000001,48,0.05953388909268124,0.86160505196426
40,0.5300000000000001,49,0.054834785997074795,0.8765140259564403
40,0.5300000000000001,50,0.056355678961285745,0.8680085558408028
40,0.5300000000000001,51,0.05636629961843526,0.8644895316787502
40,0.5500000000000002,42,0.058997510848058,0.864816472542122
40,0.5500000000000002,43,0.0607712304031327,0.854311008591624
40,0.5500000000000002,44,0.0565374916299296,0.8665883350871163
40,0.5500000000000002,45,0.05766000356084817,0.8594989054639367
40,0.5500000000000002,46,0.05951397937945269,0.8520675053357845
40,0.5500000000000002,47,0.05700193030395007,0.8616277834370901
40,0.5500000000000002,48,0.06233191200124928,0.8506951739404103
40,0.5500000000000002,49,0.057557134775876394,0.866235109907435
40,0.5500000000000002,50,0.059034585076546256,0.8575379585159444
40,0.5500000000000002,51,0.059204060566188974,0.8541506278043942
